,URL,Link
177,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r696406213-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"“Unbedingt eine Schiffs-Rundfahrt buchen”Juli 2019Der Ausflug war genial, wir fuhren mit einem kleinen Boot durch die Buch und südlich der Küste entlang. Am Boot gab es essen und Getränke - Preis /Leistung war super! Mehrmals konnten wir  aktiven Fischen, der Fang war ergeibig - die gefangenen Fische wurden an Bord verkocht und als Mittagessen serviert! Orcas, Seelöwen,...Pflichtausflug in Kamtschatka"
178,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r583055251-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"Von Rainer V“Imponierend groß”Mai 2018Dies e Bucht, die als Naturhafen genutzt wird ist imponierend groß.
Auch vom land bietet sich ein schönes Panorama."
210,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r815285601-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Поездка к сивучам.
213,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r814264725-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Поездка на яхте на рыбалку
216,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r807928544-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Великолепные виды
219,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r805204334-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Красиво-красиво!
222,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r801015988-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,супер
225,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r788807983-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Красиво
228,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r785914969-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Здесь стоит побывать!
231,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r781530466-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Прекрасное романтичное место!
234,https://www.tripadvisor.com/ShowUserReviews-g298492-d6503277-r778250606-Avachinsky_Bay-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Красивейшее место и этим все сказано
