,URL,Link
179,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r419325738-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,""" Хорошо для прогулки ""Август 2016 г.Ничего необычного, пляж с черным песком недалеко от Петропавловска. Хорошо даже в дождливый день и пусть в вашей поездке будет несколько дождливых дней!"
180,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r416102161-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"Автор: love2travel33388« Красиво - мы гуляли часа два и до конца не добрались »Август 2016 г.В августе 2016 года мы путешествовали по полуострову две недели. Долина гейзеров, озеро Кируили, вулкан Аванча, вулкан, Эссо, PKC, Harbour Tour, пляж Халактррдки - все это самые красивые достопримечательности. Но путешествие очень сложное, и русские идут очень тяжело. Будьте в отличной физической форме и готовы к приключениям на всю жизнь."
203,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r815068459-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Километры чёрного песка.
206,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r812324490-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Обязательно вернусь
209,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r808874057-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Впечатляет !!
212,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r807925511-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Интересный природный объект
215,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r806929266-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Океан и вулканический песок
218,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r806409945-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Хочется просто здесь остаться
221,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r801016141-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,красиво
224,https://www.tripadvisor.com/ShowUserReviews-g298492-d6401100-r794306992-Khalaktyrsky_Beach-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"красиво, конечно, но в целом ни о чем"
