,URL,Link
162,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r523313890-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"Со всего мира« На пульсе природы »Сен 2017 г.Дымящиеся трубы и шипящие фумаролы, земля переливается всеми красками. Прекрасное впечатление, когда можно осмотреть кальдеру действующего вулкана. Путь трудный и очень грязный, так как подход был перемещен из-за оползня."
163,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r407505744-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,""" Уникальный ""Август 2016 г.Вы бы это видели. Вулкан показал нам себя в прекрасную погоду. Мы были там позже вечером, и это действительно позволило цветам проявить себя. Путь через кратер относительно прост, но в верхней части он требует высоты. Просто стоит посмотреть."
184,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r814863340-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Действующий вулкан.
187,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r810851969-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Потрясающие виды
190,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r807923930-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Джип-тур на вулкан!
193,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r807048856-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Космос!
196,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r804845129-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,впечатляющие фумаролы
199,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r775932206-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Восхождение на вулкан Мутновский
202,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r770364076-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Великолепный природный парк
205,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r769918213-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Восхождение
208,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r764920171-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,"Очень крутое место, надо посмотреть!"
211,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r762638170-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Это нужно посетить в первую очередь
448,https://www.tripadvisor.com/ShowUserReviews-g298492-d6622855-r746257171-Volcano_Mutnovsky-Petropavlovsk_Kamchatsky_Kamchatka_Krai_Far_Eastern_District.html,Индивидуальная снегоходная экскурсия
