user_name,user_country,review_datetime,review_text,review_rating,source,sight,country_rus
Scheckal,russia,29.08.21,"В августе 2021 года состоялась моя вторая поездка на Камчатку - тур ""Знакомство с Камчаткой - часть 2"" от ООО ""ГРАНД"". В августе 2020 - была часть 1. Из команды ""Фартовых"" прошлого года, в 2021-ом, на 2-ю часть, нас поехало 6 человек + 2 человека, которые были на Камчатке 3 года назад. Итого 8 туристов. Из-за размера группы наш тур ""Знакомство с Камчаткой - часть 2"" был организован на джипах - точнее один джип + один микроавтобус. Это не просто джип и микроавтобус - это специально подготовленные машины-вездеходы под управлением наших двух гидов - Дмитрия Алексеевича (старший группы) и Петра Олеговича. Дмитрий Алексеевич и Петр Олегович - большие ПРОФИ, навыки вождения которых, много раз вызывали восторг, уважение и восхищение. Отдельная благодарность ООО ""ГРАНД"" за то, что нашли возможность включить в нашу группу - Оксану Владимировну Соболевскую - лучшего экскурсовода, потрясающего рассказчика, великолепного ученого и удивительного человека. Оксана, ваша любовь к Камчатке заразительна, ваши рассказы увлекательны, ваш голос и манера подачи - выше всяких похвал! Спасибо, что были с нами, с ""Фартовыми-2021"" - уверен, что каждый из нас это ценит и благодарен вам. Вернемся к Дмитрию и Петру - наши гиды, кормильцы, водители, генераторы отличного настроения, наши самые сильные мотиваторы - ""ведь там так красиво"" и ""тошнить может? нет!"" ))). Парни, вы большие молодцы. Огромное вам спасибо за безопасность, вкусную еду, настроение, за индивидуальный подход, отзывчивость, юмор и вашу потрясающую компанию. Касательно самого тура ""Знакомство с Камчаткой - часть 2"" - описание есть на сайте ООО ""ГРАНД"" - очень рекомендуются, если вы уже видели красоты Камчатки в окрестностях ПК. Да далеко, да длинная дорога (600км до Толбачика и 400км до Паужетки), но оно того стоит! Организация тура, быта на ""отлично"". Обращение к туроператору ""ГРАНД"" - спасибо за мой второй отличный отпуск. Прошу рассмотреть возможность организации тура ""Знакомства с Камчаткой - 3"" в 2022 году - очень хочется вернуться на Камчатку и увидеть еще больше. С уважением, Антон Щекал",10,tripadvisor,Полуостров Камчатка,Россия
Vadim,russia,11.08.21,"Бесподобный край! Красивый, своеобразный. Дикий, нетронутый. Есть где побывать, на что посмотреть! Океан! Побывать на океане это что то с чем то! Завораживающее зрелище! Шумный и бесконечно беспокойный. Хочется оставаться и всматриваться вдаль, слышать шум волн, ощущать вкус соли… а вулканический чёрный песок только дополняет восторг. Вулканы! По-истине красивое зрелище. Только на Камчатке всматриваясь в это великолепие понимаешь насколько природа великолепна! Об этом крае можно рассказывать бесконечно! Лучше там побывать и увидеть всё своими глазами!",10,tripadvisor,Полуостров Камчатка,Россия
Anna F,russia,02.08.21,"В июле 2021 года путешествовала в рамках десятидневного тура (по факту 7 дней) по полуострову с компанией «Видение Камчатки». Если кратко, то можно охарактеризовать эту поездку как: «Камчатка прекрасна своей природой, но организация - полный ужас». По горам ходить и ко встрече с медведем я была готова, спать в палатке при 5 градусах тоже. Не избалованный турист, хорошо знакома с отраслью в других регионах России. Выделю пару важных пунктов для тура, стоимостью 160к. Непрофессиональные гиды (я бы сказала сопровождающие группы), которые вдвоём не смогли ни рассказать ничего интересного о своём крае, ни попытаться сгладить многочисленных недовольства туристов в вежливой форме. Недовольства касались плохо скроенной программы, где большинство времени группа проводила в «ожидании активностей» или еды. К сожалению, на протяжении всего маршрута в качестве еды два повара нам предлагали рацион из картофельного супа, макарон, хлеба, майонеза и печенья. А, ещё были котлеты из свинины и рыба, которую члены группы сами выловили на рыбалке. В целом, если ты не ешь что-то из перечисленного, то остаешься голодным. Это не шутка. Хочу отметить, что это был не пеший поход: всю еду на протяжении маршрута возила вахтовка или вертолёт. Написала отрицательный отзыв о путешествии впервые, чтобы туристы выбирали организатора поездки на Камчатку тщательнее. Будет здорово, если сотрудники туркомпании «Видение Камчатки» проанализируют эту информацию и больше не будут бояться спрашивать туристов об их впечатлениях вживую.",6,tripadvisor,Полуостров Камчатка,Россия
Dmitriy Kuznetsov,russia,08.07.21,"Ребятушки кто ещё не был на краю земли, обязательно к посещению! Отвал башки вам гарантирован! Очень мало времени мы уделили поездкам на вулканы. Но посетили почти все достопримечательные места.",10,tripadvisor,Полуостров Камчатка,Россия
Елена Ипатова,russia,01.07.21,"Мы с друзьями приезжали на рыбалку в 2020-м году на кижуча и остались очень довольны, сразу хотелось вернуться обратно. К сожалению такой возможности не имели. Поэтому вы сразу забронировали рыбалку на следующий год на чавычу. И вот мы на базе АМТО, на реке, мы своей компанией, мы все в предвкушении! Сергей дал нам лучших двух гидов. В первый же день мы обрыбились. Поймал каждый и все остались очень довольны. За вкуснейшим ужином мы хвастались кто как доставал рыбину и кто на что ловил. Конечно мы все очень устали, но были довольны. Гиды высший класс и повора вкусно кормят. Сергей постоянно уделяет внимание всем группам.... Не понимаю, как его на всех хватает. После второго дня рыбалки мы все дружно сходили в баню, в этот день было холодно на реке и мы вернулись пораньше в разогретую баньку. Это отличный бонус в конце такого трудового дня. Рыбалка реально трудовая. В итоге наши пять дней пролетели молниеносно.... Мы очень скучаем и мы обязательно вернёмся. Передаем всем огромный привет. Желаем отличной рыбалки. Всем советую приехать в это замечательное место! Особую благодарность выражаем гидам Сергею и Александру. А также всему руководящему составу базы. С уважением, благодарные рыбаки и рыбачки.",10,tripadvisor,Полуостров Камчатка,Россия
elena bryzgalova,russia,05.10.20,"Ехать на Камчатку в этом 2020 году приравнивалось почти к безумию, - пандемия в разгаре, закрыты: все социальные объекты, включая гостиницы и термальные бассейны, музеи и места общественного питания, невозможность просочиться в город при прохождении прилетного контроля в аэропорту… И все же, мы рискнули! И были с лихвой вознаграждены гостеприимством камчадалов и ответственным отношением туристической фирмы, в чьи надёжные руки мы попали. Еще дома, во Владивостоке, подыскивая себе маршруты для путешествия по Камчатке для разновозрастной компании, начав подготовку к поездке, мы поняли, что не ошиблись с выбором, когда обратились в ООО Туристическую компанию «Край Земли». «Край земли» - это то, что нужно любому, самому взыскательному туристу, где соотношение цены за тур – качества обслуживания туриста просто отличное. Хочется отметить удачный сайт этой туристической организации в интернете, который называется «На Камчатку.ру» (na-kamchatku.ru), он очень удобен, находясь на сайте ты легко можешь ориентироваться в представленной информации, есть ответы на все, интересующие туриста вопросы, предусмотрена возможность обратной связи, продуманы советы для всех категорий туристов по снаряжению, одежде и обуви. А также представлен большой список возможных комбинаций выбора тура с учетом пожеланий туриста. Цель нашей поездки - показать Камчатку 10-летней внучке. Поэтому комфорт, питание и безопасность были в приоритете. Все это мы нашли в рекомендациях турфирмы «Край Земли». Из многочисленных предложений компании, мы выбрали 3-дневный тур «Мутновско-Горелая группа вулканов. Дачные источники» с 24 сентября по 26 сентября 2020 года. Хочется выразить благодарность этой туристической компании и поблагодарить всех вместе и каждого человека в отдельности. С самого первого дня знакомства, мы поняли, что обратились к большим профессионалам туристического бизнеса: организация тура и обслуживание нас, туристов, было на высоте. К координатору турфирмы «Край Земли», Ирине, мы обращались по телефону с многочисленными вопросами немыслимое количество раз, и она всегда молниеносно отвечала нам в полном объёме интересующего вопроса. Мы благодарим Ирину за терпение и доброжелательность, за подробную информацию и приложенные усилия с ее стороны к организации нашей поездки. Наше путешествие началось в указанное время, без опозданий (в 8 часов утра), к торговому центру «Пирамида» подъехал комфортабельный КАМАЗ, и мы с вещами в него загрузились. Нашим гидом в поездке был Сергей. Он представился, кратко рассказал нам о составе основной группы, к которой мы добавляемся на этот период путешествия. С Сергеем 2 часа поездки до турбазы Карымшина пролетели как один миг. Он - очень интересный собеседник, которого приятно слушать. Далее, к месту туристического приюта, расположенного за Вилючинским перевалом в очень живописном месте, мы ехали вместе, со сплоченным 3-х дневным сплавом, веселым коллективом из 20-ти туристов. Сергей всю дорогу развлекал нас различными интеллектуальными играми, всех перезнакомил, и дорога в его обществе показалась всем легкой и очень быстрой. Наш водитель оказался настоящим асом. Дорога, при подъеме на перевал, была довольно сложная, но мы в салоне КАМАЗА этого не ощущали, так как он вел машину просто виртуозно. Туристический приют (желтый двухэтажный домик) расположен в уникальном месте, там действительно очень красиво. Для туристов главными условиями похода являются крыша над головой и питание. Домик просто очаровательный, уютный и уникальный – в нем есть все необходимое для комфортного отдыха, сна и общения. Все туристы быстро расселились по комнатам, а затем пошли в столовую обедать. На обед был самый настоящий роскошный рассольник и гречка с котлетой. Повар Валерий - профессионал, как мы ему благодарны за вкусную кашу с душистыми гренками по утрам, великолепные супы и вторые блюда в обед, и ежевечерние изыски на ужин. За столом мы забывали, что мы в походе, потому что вся еда была ресторанного уровня, - потрясающе вкусная. Спасибо тебе, Валера! Главный по хозяйству – это Петр, он организует порядок в приюте, следит за отоплением комнат, чистотой туалетов и прочими хозяйственными мелочами, которые вдали от дома мелочами быть перестают. Благодарим тебя, Петя, ты – отличный хозяйственник! Комнаты были проветрены, спальники теплые и сухие. Электричество подавалось вовремя, и мы всегда успевали зарядить подсевшие за день гаджеты, посушить промокшие вещи. Восхождения на вулканы прошли замечательно во многом благодаря слаженности действий наших гидов Сергея и Алексея. Сергей был главным, он везде шел впереди, строил оптимальный маршрут в зависимости от погодных условий, сложности рельефа местности и подготовленности туристов. О Сереже хочется сказать много теплых слов. Он – потрясающий гид и человек. Благодарим его за отличную организацию восхождений на вулканы Горелый и Мутновский. Наша группа была очень разновозрастная, от 10-ти летнего ребенка до взрослых, старше 70-ти лет, при этом Сергей учел физические возможности всех участников похода, скорректировал свою скорость восхождения под каждого из нас. Ко всем туристам у него был свой подход, каждому из нас были сказаны какие-то свои заветные слова, от которых появлялась внутренняя сила и уверенность, что вулканы будут нами покорены. Нет слов, чтобы выразить ему свою признательность за терпение и доброе к нам отношение. Мы получили огромное удовольствие от этого трудного, великолепного по красоте, пути. Умение Сергея подать красоту природы, заострить наше внимание на самых выигрышных видах вулканов, обратить внимание на то, что без него могли бы пропустить, это дорогого стоит! Наш гид постоянно заряжал нас своей энергией, оптимизмом, рассказывал нам много нового о вулканах, о разных случаях восхождений на них. По дороге он терпеливо отвечал на многочисленные вопросы, делал промежуточные остановки в пути, чтобы мы успевали перевести дух, отдохнуть и успели сфотографировать самые красивые моменты восхождений. Маршрут получился интересным и очень веселым, сплошной восторг от его рассказов и тонкого юмора. Алексей замыкал нашу группу, - добрее и внимательнее человека я не встречала, ни одного плохого слова в адрес тех, кто отставал, плелся на последнем издыхании или капризничал, широкой души человек, просто незаменимый на скользких ледниках или узких тропинках. Всегда протянет руку помощи и подбодрит, словом и делом. Алексей – просто Ангел похода, на сложных участках пути, он буквально спасал нас от неверного шага, всегда охранял и подсказывал, куда поставить ногу, чтобы не соскользнуть вниз, воспитанный, тактичный, вполголоса он дополнял рассказы Сергея интересными фактами и историями. Удивительный тандем. Как нам повезло с нашими гидами! Спасибо ребятам-гидам, что мы не проехали мимо Дачных источников, это такое фееричное место и самая интересная прогулка для нашей внучки (и не только для нее), ведь там так чудесно дымило, парило, булькало, кипело, шипело и пузырилось самых разных цветов и плотности удивительное варево матушки Земли. Сами восхождения на вулканы я не буду описывать, потому, что об этом можно много прочитать и посмотреть в интернете, скажу только, что нам с внучкой было трудно, временами очень холодно и ветрено, тогда как мужу восхождение далось легко. На обратном пути, вдоволь накупавшись в термальных бассейнах турбазы Карымшины, нас передали в машину к руководителю турфирмы Олегу, который доставил нас до самого крыльца дома, в машине мы немного пообщались и говорим спасибо ему за тот свет общения, который он нам подарил. Больше всего нашей семье хочется сказать слова благодарности за командную работу, за высокий профессионализм сотрудникам туристической компании «Край Земли», обеспечивших нас, туристов, всем необходимым для увлекательного путешествия по восхождению на вулканы. Несмотря на то, что в свое время мы не единожды самостоятельно проходили подобные маршруты, этот поход стал для нас открытием, потому что с вашей помощью наш отдых был самым комфортным, мы ни о чем не беспокоились, не переживали о завтрашнем дне, в связи с этим он стал самым запоминающимся и самым безопасным. В заключение мы рекомендуем всем туристам переложить свои тяготы туристического быта: проживания, проезда, таскания на себе много килограммовых рюкзаков на плечи специализированной команды профессионалов туристического бизнеса ООО «Край Земли», именно они сделают ваше будущее путешествие по Камчатке незабываемым, доверьтесь этой туристической организации, и вы поймете, насколько лучше, комфортней и качественней может стать ваш отпуск на краю земли. Елена Брызгалова, Виталий Номоконов 02.09.2020 год",10,tripadvisor,Полуостров Камчатка,Россия
Антон Г,russia,23.12.19,"Камчатка,это то место на Земле,куда нужно обязательно съездить.Восхождения на вулканы,рыбалка,сплавы.Долина гейзеров,Тихий океан,нерест лосося это вы все можете увидеть наяву.",10,tripadvisor,Полуостров Камчатка,Россия
Елена Ипатова,russia,05.11.19,"Природа очень красивая на Камчатке! Мы влюблены в неё! Так интересно приезжать и в межсезонье. Наблюдать как одни и те же места меняются в одночасье. Вулканы наряжаются в белый снег, на озёра прилетают уточки, белки нам встречались тоже. Любим Камчатку!!!!!!",10,tripadvisor,Полуостров Камчатка,Россия
Morgan Cap,russia,28.08.19,"Тут можно и нужно побывать, меняет сознание, приоткрывает смысл жизни, дополняет жизненные ориентиры. После Камчатки теперь вас будет сложно чём-то удивить и все вы будете сравнивать теперь с увиденным. Есть все - активный/пассивный отдых, горы, озера, солнце, дождь, моря и океаны, леса, тундра, реки, рыба, хищники, термальные источники и много дикой природы.",10,tripadvisor,Полуостров Камчатка,Россия
Альбина К,russia,22.06.19,"Из Москвы до Петропавловска-Камчатского почти 9 часов лететь самолётом. Летела я компанией Аэрофлот. Сначала кажется, что 9 часов сидеть в кресле - это так много, и так утомительно. Но прекрасное обслуживание персонала, 2-х разовый приём пищи ( всё очень вкусно), наличие индивидуального "" телевизора"", вмонтированного в спинку кресла - сокращают утомительное время в полёте. Я посмотрела прекрасные фильмы, отдохнула. При прекрасном обслуживании - растояние не помеха для полёта.",10,tripadvisor,Полуостров Камчатка,Россия
