user_name,user_country,review_datetime,review_text,review_rating,source,sight,country_rus,iso,num_review,hover,year
Scheckal,Russian Federation,2021-08-29,"In August 2021, my second trip to Kamchatka took place - the tour ""Acquaintance with Kamchatka - part 2"" from GRAND LLC. In August 2020 - there was part 1. From the Fartov team of last year, in 2021, 6 people + 2 people who were in Kamchatka 3 years ago went to the second part. A total of 8 tourists. Due to the size of the group, our tour ""Getting to know Kamchatka - part 2"" was organized by jeeps - more precisely one jeep + one minibus. This is not just a jeep and a minibus - these are specially prepared all-terrain vehicles under the control of our two guides - Dmitry Alekseevich (head of the group) and Petr Olegovich. Dmitry Alekseevich and Petr Olegovich are great PROFIs, whose driving skills have caused delight, respect and admiration many times. Special thanks to GRAND LLC for finding the opportunity to include in our group - Oksana Vladimirovna Sobolevskaya - the best guide, an amazing storyteller, an excellent scientist and an amazing person. Oksana, your love for Kamchatka is contagious, your stories are fascinating, your voice and manner of presentation are beyond praise! Thank you for being with us, with ""Lucky-2021"" - I am sure that each of us appreciates this and is grateful to you. Let's go back to Dmitry and Peter - our guides, breadwinners, drivers, generators of excellent mood, our strongest motivators - ""it's so beautiful there"" and ""can you feel sick? No!"" ))). You guys are great. Thank you so much for safety, delicious food, mood, individual approach, responsiveness, humor and your amazing company. Regarding the tour itself ""Acquaintance with Kamchatka - part 2"" - the description is on the site of LLC ""GRAND"" - highly recommended if you have already seen the beauty of Kamchatka in the vicinity of PK. Yes, far, yes, a long road (600 km to Tolbachik and 400 km to Pauzhetka), but it's worth it! Organization of the tour, everyday life is excellent. Contacting the GRAND tour operator - thanks for my second great vacation. I ask you to consider the possibility of organizing a tour ""Dating with Kamchatka - 3"" in 2022 - I really want to return to Kamchatka and see even more. Best regards, Anton Schekal",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"In August 2021, my second trip to<br>Kamchatka took place - the tour<br>""Acquaintance with Kamchatka - part 2""<br>from GRAND LLC. In August 2020 - there was<br>part 1. From the Fartov team of last year,<br>in 2021, 6 people + 2 people who were in<br>Kamchatka 3 years ago went to the second<br>part. A total of 8 tourists. Due to the<br>size of the group, our tour ""Getting to<br>know Kamchatka - part 2"" was organized by<br>jeeps - more precisely one jeep + one<br>minibus. This is not just a jeep and a<br>minibus - these are specially prepared<br>all-terrain vehicles under the control of<br>our two guides - Dmitry Alekseevich (head<br>of the group) and Petr Olegovich. Dmitry<br>Alekseevich and Petr Olegovich are great<br>PROFIs, whose driving skills have caused<br>delight, respect and admiration many<br>times. Special thanks to GRAND LLC for<br>finding the opportunity to include in our<br>group - Oksana Vladimirovna Sobolevskaya -<br>the best guide, an amazing storyteller, an<br>excellent scientist and an amazing person.<br>Oksana, your love for Kamchatka is<br>contagious, your stories are fascinating,<br>your voice and manner of presentation are<br>beyond praise! Thank you for being with<br>us, with ""Lucky-2021"" - I am sure that<br>each of us appreciates this and is<br>grateful to you. Let's go back to Dmitry<br>and Peter - our guides, breadwinners,<br>drivers, generators of excellent mood, our<br>strongest motivators - ""it's so beautiful<br>there"" and ""can you feel sick? No!"" ))).<br>You guys are great. Thank you so much for<br>safety, delicious food, mood, individual<br>approach, responsiveness, humor and your<br>amazing company. Regarding the tour itself<br>""Acquaintance with Kamchatka - part 2"" -<br>the description is on the site of LLC<br>""GRAND"" - highly recommended if you have<br>already seen the beauty of Kamchatka in<br>the vicinity of PK. Yes, far, yes, a long<br>road (600 km to Tolbachik and 400 km to<br>Pauzhetka), but it's worth it!<br>Organization of the tour, everyday life is<br>excellent. Contacting the GRAND tour<br>operator - thanks for my second great<br>vacation. I ask you to consider the<br>possibility of organizing a tour ""Dating<br>with Kamchatka - 3"" in 2022 - I really<br>want to return to Kamchatka and see even<br>more. Best regards, Anton Schekal",2021
Vadim,Russian Federation,2021-08-11,"Peerless land! Handsome, peculiar. Wild, untouched. There is where to visit, what to see! Ocean! To visit the ocean is something with something! A mesmerizing sight! Noisy and endlessly restless. I want to stay and gaze into the distance, hear the sound of the waves, taste the salt ... and the volcanic black sand only adds to the delight. Volcanoes! A truly beautiful sight. Only in Kamchatka, looking at this splendor, do you understand how wonderful nature is! You can talk endlessly about this land! Better to go there and see everything with your own eyes!",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"Peerless land! Handsome, peculiar. Wild,<br>untouched. There is where to visit, what<br>to see! Ocean! To visit the ocean is<br>something with something! A mesmerizing<br>sight! Noisy and endlessly restless. I<br>want to stay and gaze into the distance,<br>hear the sound of the waves, taste the<br>salt ... and the volcanic black sand only<br>adds to the delight. Volcanoes! A truly<br>beautiful sight. Only in Kamchatka,<br>looking at this splendor, do you<br>understand how wonderful nature is! You<br>can talk endlessly about this land! Better<br>to go there and see everything with your<br>own eyes!",2021
Anna F,Russian Federation,2021-02-08,"In July 2021, she traveled as part of a ten-day tour (in fact, 7 days) across the peninsula with the Vision of Kamchatka company. In short, we can describe this trip as: ""Kamchatka is beautiful in its nature, but the organization is complete horror."" I was ready to walk in the mountains and to meet a bear, I was ready to sleep in a tent at 5 degrees too. Not a spoiled tourist, she is well acquainted with the industry in other regions of Russia. I will highlight a couple of important points for the tour, which costs 160k. Non-professional guides (I would say accompanying groups), who together could neither tell anything interesting about their land, nor try to smooth out the numerous discontent of tourists in a polite manner. The complaints were about a poorly tailored program, where the group spent most of the time ""waiting for activities"" or food. Unfortunately, throughout the entire route, as a meal, two chefs offered us a ration of potato soup, pasta, bread, mayonnaise and biscuits. And, there were also pork cutlets and fish, which the members of the group themselves caught on a fishing trip. In general, if you do not eat any of the above, then you remain hungry. It is not joke. I want to note that this was not a hike: all the food along the route was carried by a rotary shift operator or a helicopter. I wrote a negative review about the trip for the first time, so that tourists choose the organizer of the trip to Kamchatka more carefully. It will be great if the employees of the travel company ""Vision of Kamchatka"" analyze this information and will no longer be afraid to ask tourists about their live impressions.",6,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"In July 2021, she traveled as part of a<br>ten-day tour (in fact, 7 days) across the<br>peninsula with the Vision of Kamchatka<br>company. In short, we can describe this<br>trip as: ""Kamchatka is beautiful in its<br>nature, but the organization is complete<br>horror."" I was ready to walk in the<br>mountains and to meet a bear, I was ready<br>to sleep in a tent at 5 degrees too. Not a<br>spoiled tourist, she is well acquainted<br>with the industry in other regions of<br>Russia. I will highlight a couple of<br>important points for the tour, which costs<br>160k. Non-professional guides (I would say<br>accompanying groups), who together could<br>neither tell anything interesting about<br>their land, nor try to smooth out the<br>numerous discontent of tourists in a<br>polite manner. The complaints were about a<br>poorly tailored program, where the group<br>spent most of the time ""waiting for<br>activities"" or food. Unfortunately,<br>throughout the entire route, as a meal,<br>two chefs offered us a ration of potato<br>soup, pasta, bread, mayonnaise and<br>biscuits. And, there were also pork<br>cutlets and fish, which the members of the<br>group themselves caught on a fishing trip.<br>In general, if you do not eat any of the<br>above, then you remain hungry. It is not<br>joke. I want to note that this was not a<br>hike: all the food along the route was<br>carried by a rotary shift operator or a<br>helicopter. I wrote a negative review<br>about the trip for the first time, so that<br>tourists choose the organizer of the trip<br>to Kamchatka more carefully. It will be<br>great if the employees of the travel<br>company ""Vision of Kamchatka"" analyze this<br>information and will no longer be afraid<br>to ask tourists about their live<br>impressions.",2021
Dmitriy Kuznetsov,Russian Federation,2021-07-08,"Guys who have not yet been at the end of the earth, be sure to visit! The dump of the head is guaranteed to you! We spent very little time on trips to volcanoes. But we visited almost all the places of interest.",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"Guys who have not yet been at the end of<br>the earth, be sure to visit! The dump of<br>the head is guaranteed to you! We spent<br>very little time on trips to volcanoes.<br>But we visited almost all the places of<br>interest.",2021
Elena Ipatova,Russian Federation,2021-07-01,"My friends and I came to fishing in 2020 for coho salmon and were very pleased, we immediately wanted to go back. Unfortunately, they did not have such an opportunity. So you booked the next year's fishing for chinook salmon straight away. And here we are on the basis of AMTO, on the river, we are our own company, we are all in anticipation! Sergey gave us the best two guides. On the very first day we got fish. I caught everyone and everyone was very happy. Over a delicious dinner, we bragged about who got the fish and who caught what. Of course we were all very tired, but we were happy. The guides are top class and the cooks are deliciously fed. Sergey constantly pays attention to all groups .... I don't understand how there is enough of him for everyone. After the second day of fishing, we all went together to the bathhouse, that day it was cold on the river and we returned early to the heated bathhouse. This is a great bonus at the end of such a hard day. Fishing is really hard. As a result, our five days flew by with lightning speed .... We really miss and we will definitely return. Greetings to everyone. We wish you great fishing. I advise everyone to come to this wonderful place! We express our special gratitude to the guides Sergey and Alexander. And also to the entire management team of the base. Respectfully yours, grateful fishermen and fishermen.",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"My friends and I came to fishing in 2020<br>for coho salmon and were very pleased, we<br>immediately wanted to go back.<br>Unfortunately, they did not have such an<br>opportunity. So you booked the next year's<br>fishing for chinook salmon straight away.<br>And here we are on the basis of AMTO, on<br>the river, we are our own company, we are<br>all in anticipation! Sergey gave us the<br>best two guides. On the very first day we<br>got fish. I caught everyone and everyone<br>was very happy. Over a delicious dinner,<br>we bragged about who got the fish and who<br>caught what. Of course we were all very<br>tired, but we were happy. The guides are<br>top class and the cooks are deliciously<br>fed. Sergey constantly pays attention to<br>all groups .... I don't understand how<br>there is enough of him for everyone. After<br>the second day of fishing, we all went<br>together to the bathhouse, that day it was<br>cold on the river and we returned early to<br>the heated bathhouse. This is a great<br>bonus at the end of such a hard day.<br>Fishing is really hard. As a result, our<br>five days flew by with lightning speed<br>.... We really miss and we will definitely<br>return. Greetings to everyone. We wish you<br>great fishing. I advise everyone to come<br>to this wonderful place! We express our<br>special gratitude to the guides Sergey and<br>Alexander. And also to the entire<br>management team of the base. Respectfully<br>yours, grateful fishermen and fishermen.",2021
elena bryzgalova,Russian Federation,2020-10-05,"Going to Kamchatka this 2020 was almost equated to madness - the pandemic is in full swing, closed: all social facilities, including hotels and thermal pools, museums and catering facilities, the impossibility of infiltrating the city when passing through the arrival control at the airport ... And yet, we took a chance! And they were more than rewarded with the hospitality of the Kamchadals and the responsible attitude of the travel company, in whose reliable hands we fell. Still at home, in Vladivostok, looking for routes for traveling in Kamchatka for a group of different ages, having started preparing for the trip, we realized that we were not mistaken with the choice when we turned to the Land of the Earth Travel Company LLC. ""Land's End"" is what any, the most demanding tourist needs, where the price-per-tour ratio - the quality of tourist service is simply excellent. I would like to note the successful site of this tourist organization on the Internet, which is called ""To Kamchatka.ru"" (na-kamchatku.ru), it is very convenient, being on the site you can easily navigate in the information presented, there are answers to all questions of interest to the tourist, the possibility of feedback is provided, advice for all categories of tourists on equipment, clothes and shoes is thought out. And also a large list of possible combinations for choosing a tour is presented, taking into account the wishes of the tourist. The purpose of our trip is to show Kamchatka to a 10-year-old granddaughter. Therefore, comfort, food and safety were a priority. All this we found in the recommendations of the travel agency ""Land's End"". From the numerous offers of the company, we have chosen a 3-day tour “Mutnovsko-Gorelya group of volcanoes. Summer springs ""from September 24 to September 26, 2020. I would like to express my gratitude to this travel company and thank everyone together and each person individually. From the very first day of our acquaintance, we realized that we had turned to great professionals in the tourism business: the organization of the tour and the service of us, tourists, was excellent. To the coordinator of the travel agency ""Land of the Earth"", Irina, we contacted by phone with numerous questions an unimaginable number of times, and she always answered us with lightning speed in full volume of the question of interest. We would like to thank Irina for her patience and kindness, for the detailed information and efforts made by her to organize our trip. Our journey began at the specified time, without delay (at 8 o'clock in the morning), a comfortable KAMAZ drove up to the Pyramid shopping center, and we loaded into it with our things. Our guide on the trip was Sergey. He introduced himself, briefly told us about the composition of the main group, to which we are joining for this period of the trip. With Sergei, the 2-hour trip to the Karymshin camp site flew by like an instant. He is a very interesting conversationalist who is pleasant to listen to. Further, to the place of the tourist shelter, located behind the Vilyuchinsky pass in a very picturesque place, we drove together, with a close-knit 3-day rafting, a cheerful team of 20 tourists. Sergei entertained us all the way with various intellectual games, introduced everyone to us, and the road in his company seemed easy and very fast to everyone. Our driver turned out to be a real ace. The road, when ascending to the pass, was rather difficult, but we did not feel it in the KAMAZ cabin, as he drove the car just masterly. The tourist shelter (yellow two-story house) is located in a unique place, it is really very beautiful there. For tourists, the main conditions of the hike are a roof over their heads and food. The house is simply charming, cozy and unique - it has everything you need for a comfortable stay, sleep and communication. All the tourists quickly settled in their rooms, and then went to the dining room for dinner. For lunch there was a real luxurious pickle soup and buckwheat with a cutlet. Chef Valery is a professional, as we are grateful to him for delicious porridge with fragrant croutons in the morning, excellent soups and main courses for lunch, and every evening delights for dinner. At the table, we forgot that we were on a hike, because all the food was restaurant-grade - amazingly tasty. Thank you, Valera! The main housekeeper is Peter, he organizes the order in the shelter, monitors the heating of the rooms, the cleanliness of the toilets and other household little things that are no longer small things far from home. Thank you, Petya, you are an excellent manager! The rooms were well ventilated and the sleeping bags were warm and dry. Electricity was supplied on time, and we always had time to charge the gadgets that had been hooked up during the day, to dry the soaked things. Climbing volcanoes were wonderful, largely due to the coordination of actions of our guides Sergei and Alexei. Sergey was in charge, he went ahead everywhere, built the optimal route depending on weather conditions, the complexity of the terrain and the preparedness of tourists. I would like to say a lot of warm words about Seryozha. He is an amazing guide and person. We thank him for the excellent organization of climbing the Gorely and Mutnovsky volcanoes. Our group was very different in age, from a 10-year-old child to adults over 70, while Sergei took into account the physical capabilities of all participants in the hike, adjusted his ascent speed for each of us. He had his own approach to all tourists, each of us was told some of his cherished words, from which appeared inner strength and confidence that the volcanoes would be conquered by us. There are no words to express my gratitude to him for his patience and kind attitude towards us. We got great pleasure from this difficult, magnificently beautiful, path. Sergey's ability to convey the beauty of nature, to focus our attention on the most advantageous types of volcanoes, to pay attention to what could have been missed without him, it's worth a lot! Our guide constantly charged us with his energy, optimism, told us a lot about volcanoes, about different cases of climbing them. On the way, he patiently answered numerous questions, made intermediate stops on the way, so that we had time to take a breath, relax and have time to photograph the most beautiful moments of the ascents. The route turned out to be interesting and very funny, full of delight from his stories and subtle humor. Aleksey closed our group - I have never met a kinder and more attentive person, not a single bad word addressed to those who lagged behind, trudged on their last legs or were capricious, a broad-minded person who is simply irreplaceable on slippery glaciers or narrow paths. She will always lend a helping hand and cheer, in word and deed. Alexey is just an Angel of the campaign, on difficult sections of the path, he literally saved us from a wrong step, always guarded and told us where to put our foot so as not to slip down, educated, tactful, in an undertone he supplemented Sergey's stories with interesting facts and stories. An amazing tandem. How lucky we are with our guides! Thanks to the guys-guides that we did not pass by the Summer Springs, this is such an enchanting place and the most interesting walk for our granddaughter (and not only for her), because there it was so wonderfully smoking, steaming, gurgling, boiling, hissing and bubbling of various colors and the density of an amazing brew of Mother Earth. I will not describe the climbing of volcanoes themselves, because you can read and watch a lot about it on the Internet, I will only say that it was difficult for me and my granddaughter, at times it was very cold and windy, while the ascent was easy for my husband. On the way back, having bathed a lot in the thermal pools of the Karymshiny camp site, we were transferred to the car to the head of the travel agency Oleg, who took us to the very porch of the house, in the car we talked a little and say thank you to him for the light of communication that he gave us. Most of all, our family would like to say gratitude for the teamwork, for the high professionalism of the employees of the travel company ""Land's End"", who provided us, tourists, with everything necessary for an exciting journey to climb volcanoes. Despite the fact that at one time we went through similar routes more than once on our own, this trip became a discovery for us, because with your help our vacation was the most comfortable, we did not worry about anything, did not worry about tomorrow, due to this made him the most memorable and safest. In conclusion, we recommend that all tourists shift their burdens of tourist life: accommodation, travel, and carrying a lot of kilogram backpacks onto the shoulders of a specialized team of professionals in the tourism business of LLC ""Land of the Earth"", it is they who will make your future trip to Kamchatka unforgettable, trust this tourist organization, and you will understand how much better, more comfortable and better your vacation at the end of the earth can be. Elena Bryzgalova, Vitaly Nomokonov 09/02/2020",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"Going to Kamchatka this 2020 was almost<br>equated to madness - the pandemic is in<br>full swing, closed: all social facilities,<br>including hotels and thermal pools,<br>museums and catering facilities, the<br>impossibility of infiltrating the city<br>when passing through the arrival control<br>at the airport ... And yet, we took a<br>chance! And they were more than rewarded<br>with the hospitality of the Kamchadals and<br>the responsible attitude of the travel<br>company, in whose reliable hands we fell.<br>Still at home, in Vladivostok, looking for<br>routes for traveling in Kamchatka for a<br>group of different ages, having started<br>preparing for the trip, we realized that<br>we were not mistaken with the choice when<br>we turned to the Land of the Earth Travel<br>Company LLC. ""Land's End"" is what any, the<br>most demanding tourist needs, where the<br>price-per-tour ratio - the quality of<br>tourist service is simply excellent. I<br>would like to note the successful site of<br>this tourist organization on the Internet,<br>which is called ""To Kamchatka.ru"" (na-<br>kamchatku.ru), it is very convenient,<br>being on the site you can easily navigate<br>in the information presented, there are<br>answers to all questions of interest to<br>the tourist, the possibility of feedback<br>is provided, advice for all categories of<br>tourists on equipment, clothes and shoes<br>is thought out. And also a large list of<br>possible combinations for choosing a tour<br>is presented, taking into account the<br>wishes of the tourist. The purpose of our<br>trip is to show Kamchatka to a 10-year-old<br>granddaughter. Therefore, comfort, food<br>and safety were a priority. All this we<br>found in the recommendations of the travel<br>agency ""Land's End"". From the numerous<br>offers of the company, we have chosen a<br>3-day tour “Mutnovsko-Gorelya group of<br>volcanoes. Summer springs ""from September<br>24 to September 26, 2020. I would like to<br>express my gratitude to this travel<br>company and thank everyone together and<br>each person individually. From the very<br>first day of our acquaintance, we realized<br>that we had turned to great professionals<br>in the tourism business: the organization<br>of the tour and the service of us,<br>tourists, was excellent. To the<br>coordinator of the travel agency ""Land of<br>the Earth"", Irina, we contacted by phone<br>with numerous questions an unimaginable<br>number of times, and she always answered<br>us with lightning speed in full volume of<br>the question of interest. We would like to<br>thank Irina for her patience and kindness,<br>for the detailed information and efforts<br>made by her to organize our trip. Our<br>journey began at the specified time,<br>without delay (at 8 o'clock in the<br>morning), a comfortable KAMAZ drove up to<br>the Pyramid shopping center, and we loaded<br>into it with our things. Our guide on the<br>trip was Sergey. He introduced himself,<br>briefly told us about the composition of<br>the main group, to which we are joining<br>for this period of the trip. With Sergei,<br>the 2-hour trip to the Karymshin camp site<br>flew by like an instant. He is a very<br>interesting conversationalist who is<br>pleasant to listen to. Further, to the<br>place of the tourist shelter, located<br>behind the Vilyuchinsky pass in a very<br>picturesque place, we drove together, with<br>a close-knit 3-day rafting, a cheerful<br>team of 20 tourists. Sergei entertained us<br>all the way with various intellectual<br>games, introduced everyone to us, and the<br>road in his company seemed easy and very<br>fast to everyone. Our driver turned out to<br>be a real ace. The road, when ascending to<br>the pass, was rather difficult, but we did<br>not feel it in the KAMAZ cabin, as he<br>drove the car just masterly. The tourist<br>shelter (yellow two-story house) is<br>located in a unique place, it is really<br>very beautiful there. For tourists, the<br>main conditions of the hike are a roof<br>over their heads and food. The house is<br>simply charming, cozy and unique - it has<br>everything you need for a comfortable<br>stay, sleep and communication. All the<br>tourists quickly settled in their rooms,<br>and then went to the dining room for<br>dinner. For lunch there was a real<br>luxurious pickle soup and buckwheat with a<br>cutlet. Chef Valery is a professional, as<br>we are grateful to him for delicious<br>porridge with fragrant croutons in the<br>morning, excellent soups and main courses<br>for lunch, and every evening delights for<br>dinner. At the table, we forgot that we<br>were on a hike, because all the food was<br>restaurant-grade - amazingly tasty. Thank<br>you, Valera! The main housekeeper is<br>Peter, he organizes the order in the<br>shelter, monitors the heating of the<br>rooms, the cleanliness of the toilets and<br>other household little things that are no<br>longer small things far from home. Thank<br>you, Petya, you are an excellent manager!<br>The rooms were well ventilated and the<br>sleeping bags were warm and dry.<br>Electricity was supplied on time, and we<br>always had time to charge the gadgets that<br>had been hooked up during the day, to dry<br>the soaked things. Climbing volcanoes were<br>wonderful, largely due to the coordination<br>of actions of our guides Sergei and<br>Alexei. Sergey was in charge, he went<br>ahead everywhere, built the optimal route<br>depending on weather conditions, the<br>complexity of the terrain and the<br>preparedness of tourists. I would like to<br>say a lot of warm words about Seryozha. He<br>is an amazing guide and person. We thank<br>him for the excellent organization of<br>climbing the Gorely and Mutnovsky<br>volcanoes. Our group was very different in<br>age, from a 10-year-old child to adults<br>over 70, while Sergei took into account<br>the physical capabilities of all<br>participants in the hike, adjusted his<br>ascent speed for each of us. He had his<br>own approach to all tourists, each of us<br>was told some of his cherished words, from<br>which appeared inner strength and<br>confidence that the volcanoes would be<br>conquered by us. There are no words to<br>express my gratitude to him for his<br>patience and kind attitude towards us. We<br>got great pleasure from this difficult,<br>magnificently beautiful, path. Sergey's<br>ability to convey the beauty of nature, to<br>focus our attention on the most<br>advantageous types of volcanoes, to pay<br>attention to what could have been missed<br>without him, it's worth a lot! Our guide<br>constantly charged us with his energy,<br>optimism, told us a lot about volcanoes,<br>about different cases of climbing them. On<br>the way, he patiently answered numerous<br>questions, made intermediate stops on the<br>way, so that we had time to take a breath,<br>relax and have time to photograph the most<br>beautiful moments of the ascents. The<br>route turned out to be interesting and<br>very funny, full of delight from his<br>stories and subtle humor. Aleksey closed<br>our group - I have never met a kinder and<br>more attentive person, not a single bad<br>word addressed to those who lagged behind,<br>trudged on their last legs or were<br>capricious, a broad-minded person who is<br>simply irreplaceable on slippery glaciers<br>or narrow paths. She will always lend a<br>helping hand and cheer, in word and deed.<br>Alexey is just an Angel of the campaign,<br>on difficult sections of the path, he<br>literally saved us from a wrong step,<br>always guarded and told us where to put<br>our foot so as not to slip down, educated,<br>tactful, in an undertone he supplemented<br>Sergey's stories with interesting facts<br>and stories. An amazing tandem. How lucky<br>we are with our guides! Thanks to the<br>guys-guides that we did not pass by the<br>Summer Springs, this is such an enchanting<br>place and the most interesting walk for<br>our granddaughter (and not only for her),<br>because there it was so wonderfully<br>smoking, steaming, gurgling, boiling,<br>hissing and bubbling of various colors and<br>the density of an amazing brew of Mother<br>Earth. I will not describe the climbing of<br>volcanoes themselves, because you can read<br>and watch a lot about it on the Internet,<br>I will only say that it was difficult for<br>me and my granddaughter, at times it was<br>very cold and windy, while the ascent was<br>easy for my husband. On the way back,<br>having bathed a lot in the thermal pools<br>of the Karymshiny camp site, we were<br>transferred to the car to the head of the<br>travel agency Oleg, who took us to the<br>very porch of the house, in the car we<br>talked a little and say thank you to him<br>for the light of communication that he<br>gave us. Most of all, our family would<br>like to say gratitude for the teamwork,<br>for the high professionalism of the<br>employees of the travel company ""Land's<br>End"", who provided us, tourists, with<br>everything necessary for an exciting<br>journey to climb volcanoes. Despite the<br>fact that at one time we went through<br>similar routes more than once on our own,<br>this trip became a discovery for us,<br>because with your help our vacation was<br>the most comfortable, we did not worry<br>about anything, did not worry about<br>tomorrow, due to this made him the most<br>memorable and safest. In conclusion, we<br>recommend that all tourists shift their<br>burdens of tourist life: accommodation,<br>travel, and carrying a lot of kilogram<br>backpacks onto the shoulders of a<br>specialized team of professionals in the<br>tourism business of LLC ""Land of the<br>Earth"", it is they who will make your<br>future trip to Kamchatka unforgettable,<br>trust this tourist organization, and you<br>will understand how much better, more<br>comfortable and better your vacation at<br>the end of the earth can be. Elena<br>Bryzgalova, Vitaly Nomokonov 09/02/2020",2020
Anton G,Russian Federation,2019-12-23,"Kamchatka is a must-see place on Earth. Volcano climbing, fishing, rafting. The valley of geysers, the Pacific Ocean, salmon spawning, you can all see it in reality.",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"Kamchatka is a must-see place on Earth.<br>Volcano climbing, fishing, rafting. The<br>valley of geysers, the Pacific Ocean,<br>salmon spawning, you can all see it in<br>reality.",2019
Elena Ipatova,Russian Federation,2019-11-05,"The nature is very beautiful in Kamchatka! We are in love with her! It's so interesting to come in the off-season too. Watch the same places change overnight. Volcanoes dress up in white snow, ducks fly to lakes, we also met squirrels. We love Kamchatka !!!!!!",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"The nature is very beautiful in Kamchatka!<br>We are in love with her! It's so<br>interesting to come in the off-season too.<br>Watch the same places change overnight.<br>Volcanoes dress up in white snow, ducks<br>fly to lakes, we also met squirrels. We<br>love Kamchatka !!!!!!",2019
Morgan cap,Russian Federation,2019-08-28,"Here you can and should visit, changes consciousness, reveals the meaning of life, complements life guidelines. After Kamchatka, now it will be difficult to surprise you with something, and now you will all compare with what you have seen. There is everything - active / passive recreation, mountains, lakes, sun, rain, seas and oceans, forests, tundra, rivers, fish, predators, thermal springs and a lot of wildlife.",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"Here you can and should visit, changes<br>consciousness, reveals the meaning of<br>life, complements life guidelines. After<br>Kamchatka, now it will be difficult to<br>surprise you with something, and now you<br>will all compare with what you have seen.<br>There is everything - active / passive<br>recreation, mountains, lakes, sun, rain,<br>seas and oceans, forests, tundra, rivers,<br>fish, predators, thermal springs and a lot<br>of wildlife.",2019
Albina K,Russian Federation,2019-06-22,"It takes almost 9 hours to fly from Moscow to Petropavlovsk-Kamchatsky by plane. I flew by Aeroflot. At first it seems like sitting in a chair for 9 hours is so long and so exhausting. But the excellent service of the staff, 2 meals a day (everything is very tasty), the presence of an individual ""TV"" mounted in the back of the seat - reduce the tiring time in flight. I watched great films, rested. With excellent service, the distance is not a hindrance to flight.",10,tripadvisor,Kamchatka Peninsula,Russia,RUS,233,"It takes almost 9 hours to fly from Moscow<br>to Petropavlovsk-Kamchatsky by plane. I<br>flew by Aeroflot. At first it seems like<br>sitting in a chair for 9 hours is so long<br>and so exhausting. But the excellent<br>service of the staff, 2 meals a day<br>(everything is very tasty), the presence<br>of an individual ""TV"" mounted in the back<br>of the seat - reduce the tiring time in<br>flight. I watched great films, rested.<br>With excellent service, the distance is<br>not a hindrance to flight.",2019
